整理番号,通称道路名,通称道路名／よみがな,起点,終点
130,鳩ヶ谷街道,はとがやかいどう,足立区江北二丁目,足立区入谷九丁目
131,江北橋通り,こうほくばしどおり,足立区宮城二丁目,葛飾区亀有二丁目
132,川の手通り,かわのてどおり,荒川区南千住三丁目,足立区谷中四丁目
133,ゆりのき橋通り,ゆりのきばしどおり,墨田区東向島六丁目,江戸川区小松川三丁目
134,国際通り,こくさいどおり,台東区蔵前三丁目,台東区三ノ輪一丁目
135,道灌山通り,どうかんやまどおり,文京区千駄木三丁目,荒川区西日暮里一丁目
136,清砂大橋通り,きよすなおおはしどおり,江東区新砂三丁目,江戸川区東葛西九丁目
137,有明通り,ありあけどおり,中央区晴海二丁目,江東区有明二丁目
138,環二通り,かんにどおり,港区虎ノ門二丁目,江東区有明二丁目
139,淡島通り,あわしまどおり,渋谷区神泉町,世田谷区若林二丁目
140,要町通り,かなめちょうどおり,豊島区要町一丁目,板橋区小茂根一丁目
141,松原通り,まつばらどおり,調布市仙川町三丁目,狛江市元和泉三丁目
142,伏見通り,ふしみどおり,西東京市北町三丁目,武蔵野市八幡町二丁目
143,新武蔵境通り,しんむさしさかいどおり,武蔵野市境南町一丁目,武蔵野市関前三丁目
144,天文台通り,てんもんだいどおり,武蔵野市境二丁目,調布市上石原一丁目
145,稲城大橋通り,いなぎおおはしどおり,稲城市東長沼,府中市押立町三丁目
146,国分寺街道,こくぶんじかいどう,小平市上水南町二丁目,府中市府中町一丁目
147,多喜窪通り,たきくぼどおり,府中市武蔵台三丁目,国分寺市南町二丁目
148,新府中街道,しんふちゅうかいどう,府中市住吉町四丁目,小平市小川町一丁目
149,日野バイパス,ひのばいぱす,国立市谷保,八王子市高倉町
150,多摩モノレール通り,たまものれーるどおり,多摩市南野二丁目,立川市柴﨑町四丁目
151,南多摩尾根幹線道路,みなみたまおねかんせんどうろ,町田市小山町,稲城市百村
152,芝溝街道,しばみぞかいどう,町田市根岸町,町田市大蔵町
153,成瀬街道,なるせかいどう,町田市成瀬,町田市原町田二丁目
154,多摩大橋通り,たまおおはしどおり,八王子市大和田町二丁目,武蔵村山市本町一丁目
155,平山通り,ひらやまどおり,八王子市堀之内三丁目,八王子市大和田町二丁目
156,瑞穂バイパス,みずほばいぱす,西多摩郡瑞穂町高根,西多摩郡瑞穂町むさし野三丁目
157,西多摩産業道路,にしたまさんぎょうどうろ,福生市武蔵野台一丁目,青梅市末広町二丁目
158,羽村街道,はむらかいどう,羽村市神明台一丁目,西多摩郡瑞穂町南平一丁目
159,永田橋通り,ながたばしどおり,西多摩郡日の出町大久野,福生市福生
160,新滝山街道,しんたきやまかいどう,あきる野市牛沼,八王子市左入町
161,八王子バイパス,はちおうじばいぱす,八王子市宇津木町,町田市相原町
162,山田通り,やまだどおり,西多摩郡日の出町平井,八王子市上川町
163,美山通り,みやまどおり,八王子市上川町,八王子市元八王子町三丁目
164,多摩川南岸道路,たまがわなんがんどうろ,西多摩郡奥多摩町棚澤,西多摩郡奥多摩町氷川
165,奥多摩周遊道路,おくたましゅうゆうどうろ,西多摩郡奥多摩町川野,西多摩郡檜原村数馬
166,八丈一周道路,はちじょういっしゅうどうろ,八丈町大賀郷,八丈町大賀郷
167,八丈中央道路,はちじょうちゅうおうどうろ,八丈町三根,八丈町大賀郷
168,八丈空港道路,はちじょうくうこうどうろ,八丈町三根,八丈町大賀郷
169,青ヶ島本道,あおがしまほんどう,青ヶ島村,青ヶ島村西郷
170,利島一周道路,としまいっしゅうどうろ,利島村,利島村
171,御蔵島本道,みくらじまほんどう,御蔵島村,御蔵島村南郷
